City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,andenes,NO,2021-08-15 19:20:35,69.3143,16.1194,49.98,87,75,27.63,broken clouds,0.0,0
1,bluff,NZ,2021-08-15 19:20:35,-46.6,168.3333,52.81,70,97,19.69,overcast clouds,0.0,0
2,pangnirtung,CA,2021-08-15 19:20:36,66.1451,-65.7125,46.4,87,75,13.8,broken clouds,0.0,0
3,mataura,NZ,2021-08-15 19:20:36,-46.1927,168.8643,52.48,90,100,5.21,overcast clouds,0.0,0
4,vaini,TO,2021-08-15 19:20:36,-21.2,-175.2,66.36,77,40,8.05,scattered clouds,0.0,0
5,saldanha,ZA,2021-08-15 19:20:37,-33.0117,17.9442,51.85,73,54,13.29,broken clouds,0.0,0
6,nikolskoye,RU,2021-08-15 19:20:37,59.7035,30.7861,61.02,72,4,8.93,clear sky,0.0,0
7,lircay,PE,2021-08-15 19:20:37,-12.9896,-74.7205,66.74,56,100,6.73,overcast clouds,0.0,0
8,port alfred,ZA,2021-08-15 19:20:37,-33.5906,26.891,59.86,79,0,12.84,clear sky,0.0,0
9,busselton,AU,2021-08-15 19:20:38,-33.65,115.3333,49.08,76,0,10.6,clear sky,0.0,0
10,kodiak,US,2021-08-15 19:20:38,57.79,-152.4072,60.31,51,1,0.0,clear sky,0.0,0
11,tiksi,RU,2021-08-15 19:20:38,71.6872,128.8694,39.02,94,18,5.79,few clouds,0.0,0
12,ulladulla,AU,2021-08-15 19:20:39,-35.35,150.4667,57.09,43,0,10.98,clear sky,0.0,0
13,sorland,NO,2021-08-15 19:20:39,67.667,12.6934,51.87,77,100,20.96,overcast clouds,0.0,0
14,ushuaia,AR,2021-08-15 19:19:30,-54.8,-68.3,51.46,54,40,6.91,scattered clouds,0.0,0
15,nome,US,2021-08-15 19:20:40,64.5011,-165.4064,50.07,87,90,0.0,light rain,0.0,0
16,touros,BR,2021-08-15 19:20:40,-5.1989,-35.4608,81.5,67,15,22.1,few clouds,0.0,0
17,port elizabeth,ZA,2021-08-15 19:20:40,-33.918,25.5701,59.09,94,40,8.05,scattered clouds,0.0,0
18,punta arenas,CL,2021-08-15 19:16:13,-53.15,-70.9167,42.91,87,75,9.22,broken clouds,0.0,0
19,santa leopoldina,BR,2021-08-15 19:20:41,-20.1006,-40.5297,73.02,83,93,4.23,overcast clouds,0.0,0
20,gazli,UZ,2021-08-15 19:20:41,40.1333,63.45,76.78,18,0,18.12,clear sky,0.0,0
21,barrow,US,2021-08-15 19:20:41,71.2906,-156.7887,35.62,80,90,16.11,overcast clouds,0.0,0
22,fort saint james,CA,2021-08-15 19:20:41,54.4333,-124.25,72.73,45,100,15.08,overcast clouds,0.0,0
23,bambous virieux,MU,2021-08-15 19:20:42,-20.3428,57.7575,68.25,73,40,12.66,scattered clouds,0.0,0
24,beyneu,KZ,2021-08-15 19:20:42,45.3167,55.2,80.83,22,0,11.7,clear sky,0.0,0
25,churapcha,RU,2021-08-15 19:20:42,62.0025,132.4325,60.84,94,98,3.33,overcast clouds,0.0,0
26,hilo,US,2021-08-15 19:20:43,19.7297,-155.09,81.25,80,90,3.44,overcast clouds,0.0,0
27,east london,ZA,2021-08-15 19:18:02,-33.0153,27.9116,60.87,70,0,9.82,clear sky,0.0,0
28,ribeira grande,PT,2021-08-15 19:20:43,38.5167,-28.7,75.6,73,40,3.44,scattered clouds,0.0,0
29,vila velha,BR,2021-08-15 19:20:43,-20.3297,-40.2925,73.35,78,75,12.66,broken clouds,0.0,0
30,richards bay,ZA,2021-08-15 19:20:44,-28.783,32.0377,64.09,79,17,7.7,few clouds,0.0,0
31,upernavik,GL,2021-08-15 19:18:08,72.7868,-56.1549,42.4,94,100,13.73,light rain,0.0,0
32,rikitea,PF,2021-08-15 19:20:44,-23.1203,-134.9692,74.79,75,0,12.75,clear sky,0.0,0
33,abu samrah,SY,2021-08-15 19:20:45,35.3029,37.1841,82.18,39,0,12.59,clear sky,0.0,0
34,atuona,PF,2021-08-15 19:20:45,-9.8,-139.0333,78.13,69,69,19.04,broken clouds,0.0,0
35,walvis bay,NA,2021-08-15 19:20:45,-22.9575,14.5053,56.08,93,25,3.44,scattered clouds,0.0,0
36,carnarvon,AU,2021-08-15 19:20:46,-24.8667,113.6333,55.47,58,2,5.75,clear sky,0.0,0
37,saint-pierre,RE,2021-08-15 19:20:46,-21.3393,55.4781,65.84,75,40,8.05,scattered clouds,0.0,0
38,hithadhoo,MV,2021-08-15 19:20:46,-0.6,73.0833,83.32,68,100,15.79,overcast clouds,0.0,0
39,prestea,GH,2021-08-15 19:20:47,5.4327,-2.1428,76.55,73,88,7.0,overcast clouds,0.0,0
40,geraldton,AU,2021-08-15 19:17:04,-28.7667,114.6,57.61,44,0,16.11,clear sky,0.0,0
41,dawlatabad,AF,2021-08-15 19:20:47,36.4141,64.9053,73.27,17,0,4.36,clear sky,0.0,0
42,baghmara,IN,2021-08-15 19:20:47,23.795,86.2085,82.24,81,100,4.61,overcast clouds,0.0,0
43,bengkulu,ID,2021-08-15 19:20:48,-3.8004,102.2655,75.15,89,85,3.13,overcast clouds,0.0,0
44,grand gaube,MU,2021-08-15 19:20:48,-20.0064,57.6608,68.4,75,86,1.99,overcast clouds,0.0,0
45,noumea,NC,2021-08-15 19:20:48,-22.2763,166.4572,60.78,77,6,9.42,clear sky,0.0,0
46,cherskiy,RU,2021-08-15 19:20:49,68.75,161.3,42.73,88,100,1.14,light rain,0.0,0
47,nichinan,JP,2021-08-15 19:20:49,31.6,131.3667,76.39,94,100,2.26,overcast clouds,0.0,0
48,guerrero negro,MX,2021-08-15 19:20:49,27.9769,-114.0611,79.77,57,11,14.23,few clouds,0.0,0
49,qaanaaq,GL,2021-08-15 19:20:49,77.484,-69.3632,38.52,98,100,5.12,light rain,0.0,0
50,saint-philippe,RE,2021-08-15 19:20:50,-21.3585,55.7679,65.75,79,84,12.86,light rain,0.0,0
51,bethel,US,2021-08-15 19:20:50,41.3712,-73.414,84.09,53,1,5.75,clear sky,0.0,0
52,fairbanks,US,2021-08-15 19:20:51,64.8378,-147.7164,50.59,93,90,3.0,light rain,0.0,0
53,kishorganj,BD,2021-08-15 19:20:51,24.4333,90.7667,79.34,93,100,6.53,overcast clouds,0.0,0
54,thompson,CA,2021-08-15 19:20:51,55.7435,-97.8558,78.96,38,40,19.57,scattered clouds,0.0,0
55,longyearbyen,SJ,2021-08-15 19:20:51,78.2186,15.6401,39.04,75,75,12.66,broken clouds,0.0,0
56,husavik,IS,2021-08-15 19:20:53,66.0449,-17.3389,58.91,77,15,7.78,few clouds,0.0,0
57,puerto ayora,EC,2021-08-15 19:20:53,-0.7393,-90.3518,76.96,88,74,8.01,broken clouds,0.0,0
58,lorengau,PG,2021-08-15 19:20:53,-2.0226,147.2712,79.65,83,99,4.21,overcast clouds,0.0,0
59,kapaa,US,2021-08-15 19:20:54,22.0752,-159.319,84.52,70,40,3.0,moderate rain,0.0,0
60,pahrump,US,2021-08-15 19:17:17,36.2083,-115.9839,102.51,21,0,3.0,clear sky,0.0,0
61,mount gambier,AU,2021-08-15 19:20:54,-37.8333,140.7667,49.91,93,40,13.8,scattered clouds,0.0,0
62,caravelas,BR,2021-08-15 19:20:54,-17.7125,-39.2481,74.93,66,1,6.73,clear sky,0.0,0
63,cape town,ZA,2021-08-15 19:17:06,-33.9258,18.4232,57.11,82,0,3.44,clear sky,0.0,0
64,katsuura,JP,2021-08-15 19:20:55,35.1333,140.3,68.11,94,100,12.97,overcast clouds,0.0,0
65,airai,TL,2021-08-15 19:20:55,-8.9266,125.4092,57.61,90,35,3.62,scattered clouds,0.0,0
66,albany,US,2021-08-15 19:18:40,42.6001,-73.9662,79.45,51,100,3.87,overcast clouds,0.0,0
67,lompoc,US,2021-08-15 19:20:56,34.6391,-120.4579,86.02,76,20,16.11,few clouds,0.0,0
68,sao filipe,CV,2021-08-15 19:20:56,14.8961,-24.4956,76.66,81,84,2.19,broken clouds,0.0,0
69,morros,BR,2021-08-15 19:20:56,-9.4467,-46.3003,93.85,13,4,8.43,clear sky,0.0,0
70,kalemie,CD,2021-08-15 19:20:56,-5.9475,29.1947,73.83,48,0,0.45,clear sky,0.0,0
71,jamestown,US,2021-08-15 19:20:57,42.097,-79.2353,77.29,56,20,5.75,few clouds,0.0,0
72,georgetown,MY,2021-08-15 19:20:57,5.4112,100.3354,78.89,91,40,5.75,heavy intensity rain,0.0,0
73,jiuquan,CN,2021-08-15 19:20:57,39.7432,98.5174,77.65,30,70,6.15,broken clouds,0.0,0
74,felanitx,ES,2021-08-15 19:20:58,39.4696,3.1483,88.45,52,0,5.14,clear sky,0.0,0
75,mar del plata,AR,2021-08-15 19:16:46,-38.0023,-57.5575,59.02,63,0,8.05,clear sky,0.0,0
76,steinbach,DE,2021-08-15 19:20:58,50.1667,8.5667,77.0,58,0,6.91,clear sky,0.0,0
77,hobart,AU,2021-08-15 19:20:59,-42.8794,147.3294,41.25,87,40,5.01,light rain,0.0,0
78,pasaje,EC,2021-08-15 19:20:59,-3.3333,-79.8167,78.87,64,91,4.74,overcast clouds,0.0,0
79,havoysund,NO,2021-08-15 19:20:59,70.9963,24.6622,46.63,80,100,10.49,overcast clouds,0.0,0
80,yellowknife,CA,2021-08-15 19:21:00,62.456,-114.3525,61.32,63,75,12.66,broken clouds,0.0,0
81,los chiles,CR,2021-08-15 19:16:08,11.0333,-84.7167,83.97,78,100,4.14,overcast clouds,0.0,0
82,molteno,ZA,2021-08-15 19:21:00,-31.3968,26.3625,47.52,58,0,5.3,clear sky,0.0,0
83,la palma,US,2021-08-15 19:21:00,33.8464,-118.0467,103.75,62,40,5.99,scattered clouds,0.0,0
84,rosita,NI,2021-08-15 19:21:01,13.9268,-84.4032,86.83,64,46,2.95,scattered clouds,0.0,0
85,tura,IN,2021-08-15 19:21:01,25.5198,90.2201,74.28,95,94,4.21,overcast clouds,0.0,0
86,novoagansk,RU,2021-08-15 19:21:01,61.9449,76.6625,61.2,67,99,8.3,overcast clouds,0.0,0
87,faya,SA,2021-08-15 19:21:02,18.3851,42.4509,71.71,68,100,3.49,overcast clouds,0.0,0
88,hermanus,ZA,2021-08-15 19:21:02,-34.4187,19.2345,56.89,80,39,6.29,scattered clouds,0.0,0
89,shenjiamen,CN,2021-08-15 19:21:02,29.9576,122.298,77.9,94,100,7.38,light rain,0.0,0
90,jumla,NP,2021-08-15 19:21:03,29.2747,82.1838,58.05,92,100,2.26,overcast clouds,0.0,0
91,la ronge,CA,2021-08-15 19:21:03,55.1001,-105.2842,77.22,31,40,10.36,scattered clouds,0.0,0
92,san rafael,AR,2021-08-15 19:21:03,-34.6177,-68.3301,65.82,18,89,7.38,overcast clouds,0.0,0
93,butaritari,KI,2021-08-15 19:21:04,3.0707,172.7902,82.49,74,21,9.19,few clouds,0.0,0
94,tasiilaq,GL,2021-08-15 19:21:04,65.6145,-37.6368,50.77,69,81,11.14,broken clouds,0.0,0
95,seoul,KR,2021-08-15 19:20:13,37.5683,126.9778,76.57,65,20,9.22,few clouds,0.0,0
96,baruun-urt,MN,2021-08-15 19:21:04,46.6806,113.2792,56.55,88,0,3.24,clear sky,0.0,0
97,guerrero,MX,2021-08-15 19:21:05,17.6667,-100.0,77.13,79,56,3.04,broken clouds,0.0,0
98,mujiayingzi,CN,2021-08-15 19:21:05,42.1167,118.7833,62.47,95,100,2.37,overcast clouds,0.0,0
99,aloleng,PH,2021-08-15 19:21:05,16.1307,119.7824,79.12,84,99,4.7,overcast clouds,0.0,0
100,victoria,HK,2021-08-15 19:16:49,22.2855,114.1577,81.97,87,100,6.4,overcast clouds,0.0,0
101,ranong,TH,2021-08-15 19:21:06,9.9658,98.6348,76.57,87,100,4.83,overcast clouds,0.0,0
102,scarborough,GB,2021-08-15 19:17:28,54.2797,-0.4044,64.53,90,91,1.74,overcast clouds,0.0,0
103,papara,BR,2021-08-15 19:21:06,-3.9839,-38.7273,81.0,43,41,9.35,scattered clouds,0.0,0
104,bar harbor,US,2021-08-15 19:21:07,44.3876,-68.2039,79.93,48,1,11.99,clear sky,0.0,0
