City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Ribeira Grande,PT,38.5167,-28.7,72.59,83,91,3.15,overcast clouds,0.0,0
1,Bredasdorp,ZA,-34.5322,20.0403,53.28,93,43,1.14,scattered clouds,0.0,0
2,Nuevo Progreso,MX,23.1667,-97.95,91.6,63,58,10.45,broken clouds,0.0,0
3,Santa Fe,AR,-31.6333,-60.7,59.99,58,8,1.01,clear sky,0.0,0
4,Luderitz,NA,-26.6481,15.1594,55.9,73,2,8.37,clear sky,0.0,0
5,Busselton,AU,-33.65,115.3333,55.04,68,0,10.92,clear sky,0.0,0
6,Vaini,TO,-21.2,-175.2,73.56,68,40,11.5,scattered clouds,0.0,0
7,Caohai,CN,26.8661,104.2841,60.26,95,99,5.97,overcast clouds,0.0,0
8,Talnakh,RU,69.4865,88.3972,56.1,93,99,10.89,light rain,0.32,0
9,Albany,US,42.6001,-73.9662,70.45,73,100,2.46,overcast clouds,0.0,0
10,Ushuaia,AR,-54.8,-68.3,44.26,70,40,3.44,scattered clouds,0.0,0
11,Mataura,NZ,-46.1927,168.8643,55.47,61,100,5.55,overcast clouds,0.0,0
12,Punta Arenas,CL,-53.15,-70.9167,41.11,93,75,5.75,broken clouds,0.0,0
13,Wajima,JP,37.4,136.9,75.88,88,75,4.61,broken clouds,0.0,0
14,Mehamn,NO,71.0357,27.8492,44.37,82,100,12.21,overcast clouds,0.0,0
15,Ulladulla,AU,-35.35,150.4667,63.88,45,0,13.85,clear sky,0.0,0
16,Saint George,US,37.1041,-113.5841,106.63,20,1,5.99,clear sky,0.0,0
17,Tuatapere,NZ,-46.1333,167.6833,55.81,70,100,10.92,overcast clouds,0.0,0
18,Castro,BR,-24.7911,-50.0119,59.23,88,31,3.11,scattered clouds,0.0,0
19,San Patricio,US,28.017,-97.5169,91.49,55,68,14.43,broken clouds,0.0,0
20,Hengshui,CN,37.7322,115.7011,75.09,79,0,1.12,clear sky,0.0,0
21,Sorland,NO,67.667,12.6934,51.89,78,100,20.38,overcast clouds,0.0,0
22,Butaritari,KI,3.0707,172.7902,83.39,72,24,10.25,few clouds,0.0,0
23,Olinda,BR,-8.0089,-34.8553,74.93,64,40,11.5,scattered clouds,0.0,0
24,Labuhan,ID,-6.8844,112.2051,77.86,80,58,7.11,broken clouds,0.0,0
25,Acapulco,MX,16.8634,-99.8901,85.82,79,90,4.61,overcast clouds,0.0,0
26,Akdepe,TM,42.0551,59.3788,64.49,30,0,9.46,clear sky,0.0,0
27,Necochea,AR,-38.5473,-58.7368,47.03,67,68,9.95,broken clouds,0.0,0
28,Innisfail,AU,-17.5333,146.0333,71.37,88,62,10.94,broken clouds,0.0,0
29,Saskylakh,RU,71.9167,114.0833,53.2,62,80,11.12,broken clouds,0.0,0
30,Talas,TR,38.6908,35.5538,56.07,82,20,5.75,few clouds,0.0,0
31,Bluff,NZ,-46.6,168.3333,55.8,64,99,16.98,overcast clouds,0.0,0
32,Bilibino,RU,68.0546,166.4372,43.16,80,100,2.39,overcast clouds,0.0,0
33,Pevek,RU,69.7008,170.3133,32.86,97,100,3.62,overcast clouds,0.0,0
34,Nikolskoye,RU,59.7035,30.7861,59.02,84,27,10.54,scattered clouds,0.0,0
35,Tateyama,JP,34.9833,139.8667,70.07,92,100,13.13,overcast clouds,0.0,0
36,Senno,RU,59.5336,33.9167,53.85,96,48,9.26,scattered clouds,0.0,0
37,Narsaq,GL,60.9167,-46.05,50.22,98,99,4.59,moderate rain,1.11,0
38,Syasstroy,RU,60.1367,32.5691,55.44,91,37,15.01,scattered clouds,0.0,0
39,Qaanaaq,GL,77.484,-69.3632,37.94,99,100,4.92,light rain,0.41,0
40,Korla,CN,41.7597,86.1469,72.81,38,100,3.89,overcast clouds,0.0,0
41,Uporovo,RU,56.3109,66.2693,58.05,79,46,2.82,scattered clouds,0.0,0
42,Riohacha,CO,11.5444,-72.9072,79.5,84,65,6.13,broken clouds,0.0,0
43,Ponta Do Sol,PT,32.6667,-17.1,84.83,51,2,5.26,clear sky,0.0,0
44,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,88,3.0,overcast clouds,0.0,0
45,Alice Springs,AU,-23.7,133.8833,51.35,35,0,1.14,clear sky,0.0,0
46,Igarape,BR,-20.0703,-44.3017,73.76,56,80,3.71,broken clouds,0.0,0
47,Mar Del Plata,AR,-38.0023,-57.5575,46.42,100,90,5.75,fog,0.0,0
48,Port-Gentil,GA,-0.7193,8.7815,76.62,84,84,13.31,broken clouds,0.0,0
49,Vardo,NO,70.3705,31.1107,46.13,76,100,17.69,overcast clouds,0.0,0
50,Perama,GR,37.9757,23.5828,77.65,42,0,3.44,clear sky,0.0,0
51,Beloha,MG,-25.1667,45.05,61.05,75,25,12.1,scattered clouds,0.0,0
52,Tiksi,RU,71.6872,128.8694,43.21,81,10,7.07,clear sky,0.0,0
53,Hermanus,ZA,-34.4187,19.2345,55.9,75,12,8.63,few clouds,0.0,0
54,Hofn,IS,64.2539,-15.2082,52.38,92,100,2.66,overcast clouds,0.0,0
55,Sambrial,PK,32.4745,74.3521,82.35,83,40,0.0,smoke,0.0,0
56,Mahebourg,MU,-20.4081,57.7,68.29,77,40,11.5,light rain,0.31,0
57,Yellowknife,CA,62.456,-114.3525,63.12,63,75,16.11,broken clouds,0.0,0
58,Holguin,CU,20.8872,-76.2631,78.3,89,75,9.22,broken clouds,0.0,0
59,Mount Gambier,AU,-37.8333,140.7667,51.71,87,90,17.27,overcast clouds,0.0,0
60,Fuyang,CN,32.9,115.8167,74.82,90,98,5.17,light rain,0.25,0
61,Cherskiy,RU,68.75,161.3,43.05,90,100,2.35,overcast clouds,0.0,0
62,Port Alfred,ZA,-33.5906,26.891,59.18,74,0,13.02,clear sky,0.0,0
63,Mahajanga,MG,-15.7167,46.3167,69.82,64,20,5.75,few clouds,0.0,0
64,Abu Dhabi,AE,24.4667,54.3667,95.02,71,0,5.75,clear sky,0.0,0
65,Zhangjiakou,CN,40.81,114.8794,66.42,89,79,2.86,broken clouds,0.0,0
66,Jiazi,CN,22.8779,116.067,82.94,80,1,6.24,clear sky,0.0,0
67,Erzin,TR,36.9559,36.2,79.52,74,0,0.81,clear sky,0.0,0
68,Provideniya,RU,64.3833,-173.3,44.71,81,90,13.42,light rain,0.0,0
