City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Muros,ES,66.24,clear sky,42.7762,-9.0603,Apartment Av. Castelao
4,Bethel,US,78.08,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
6,Port Hedland,AU,68.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
11,Atuona,PF,77.77,few clouds,-9.8,-139.0333,Villa Enata
13,Sao Filipe,CV,78.57,scattered clouds,14.8961,-24.4956,Hotel Xaguate
14,Kapaa,US,86.32,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Bhadrachalam,IN,75.34,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
17,Broome,US,76.69,overcast clouds,42.2506,-75.833,Chenango Valley State Park
21,Kieta,PG,82.31,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
22,Espinosa,BR,77.22,broken clouds,-14.9261,-42.8192,Hotel Vilma
25,Albany,US,75.92,broken clouds,42.6001,-73.9662,
26,Liberia,LR,69.98,broken clouds,6.5,-9.5,
32,Mareeba,AU,73.49,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
40,Georgetown,MY,75.88,mist,5.4112,100.3354,Cititel Penang
41,Jamestown,US,70.02,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
42,Mykolayiv,UA,73.4,clear sky,46.9659,31.9974,Nikotel
45,Bengkulu,ID,73.81,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
48,Tura,IN,73.6,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
49,Caraquet,CA,75.78,broken clouds,47.7941,-64.9386,Gite Le Poirier
50,Koraput,IN,71.13,overcast clouds,18.8167,82.7167,Raj Residency
51,Celestun,MX,85.21,broken clouds,20.8667,-90.4,Posada Lilia
52,Mantua,IT,75.7,scattered clouds,45.1667,10.7833,Hotel la Favorita
54,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
63,Saint Anthony,US,86.02,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
64,Vila Franca Do Campo,PT,72.01,clear sky,37.7167,-25.4333,Pestana Bahia Praia
65,Brindisi,IT,79.16,clear sky,40.5833,17.6667,Agriturismo Tibitone
66,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
71,Ayan,RU,70.56,clear sky,56.45,138.1667,Gostinitsa
73,Hithadhoo,MV,81.7,overcast clouds,-0.6,73.0833,Scoop Guest House
74,Votkinsk,RU,70.77,overcast clouds,57.0486,53.9872,Tsentralniy Hotel
75,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Kropotkin,RU,68.25,few clouds,45.4375,40.5756,Hotel Europe Kropotkin
78,Andrews,US,84.15,scattered clouds,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
82,Kutum,SD,78.17,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
90,Antalaha,MG,66.02,broken clouds,-14.9003,50.2788,Hotel Vitasoa
91,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
93,Lagoa,PT,73.22,overcast clouds,39.05,-27.9833,Casa Das Faias
95,Nelipyno,UA,69.24,clear sky,48.561,23.0315,"Отельно-ресторанный комплекс ""Затышок"""
97,Kamenka,RU,68.04,overcast clouds,51.3223,42.7678,
99,Barreirinhas,BR,76.6,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
100,Bandarbeyla,SO,76.86,few clouds,9.4942,50.8122,JABIR HOTEL
103,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
104,Hambantota,LK,78.19,overcast clouds,6.1241,81.1185,Bungalow 63
105,Guerrero Negro,MX,82.72,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
111,Ribeira Grande,PT,73.31,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
114,Kavieng,PG,83.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
115,Naze,JP,81.52,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
116,Beira,MZ,69.89,clear sky,-19.8436,34.8389,Beira Terrace Hotel
125,Jalu,LY,78.82,clear sky,29.0331,21.5482,صاحبة الفخامة
128,Asyut,EG,80.78,clear sky,27.181,31.1837,Florence Hotel Assiut
129,Butterworth,MY,75.99,mist,5.3991,100.3638,Cititel Penang
130,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
131,Obsharovka,RU,69.75,overcast clouds,53.125,48.8531,
133,Raga,SS,70.57,few clouds,8.4596,25.678,
135,Yining,CN,75.36,overcast clouds,29.0361,114.5636,Xiushui Hotel
136,Victoria,HK,84.96,clear sky,22.2855,114.1577,Mini Hotel Central
138,Port-Cartier,CA,70.02,broken clouds,50.0334,-66.8654,Le Q'Artier
140,Hilo,US,83.93,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
143,Bac Lieu,VN,79.16,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
145,La Ronge,CA,70.05,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
147,Chimore,BO,80.02,scattered clouds,-16.9833,-65.1333,Bichito
149,Svetlogorsk,BY,67.23,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
151,Saint-Louis,SN,83.79,overcast clouds,16.3333,-15.0,
152,Sept-Iles,CA,70.32,broken clouds,50.2001,-66.3821,Comfort Inn
153,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
154,Port Alfred,ZA,72.0,broken clouds,-33.5906,26.891,The Halyards Hotel
155,Canala,NC,73.89,scattered clouds,-21.5333,165.95,Table d’hôte chez Betty
159,Imeni Poliny Osipenko,RU,68.23,clear sky,52.4201,136.4853,Yubileynaya
160,Westport,US,78.98,clear sky,41.1415,-73.3579,The Westport Inn
167,Shingu,JP,81.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
169,Manaure,CO,83.8,broken clouds,11.7751,-72.4445,Hotel Palaaima
170,Caravelas,BR,69.89,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
174,Lorengau,PG,82.78,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
176,Maryville,US,80.8,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
177,Ati,TD,76.35,overcast clouds,13.2154,18.3353,
178,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
182,Faanui,PF,80.42,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Vila Velha,BR,71.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
193,Roma,US,77.43,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
196,Ponta Do Sol,PT,84.83,clear sky,32.6667,-17.1,Hotel do Campo
197,Boundiali,CI,71.06,broken clouds,9.5217,-6.4869,Hotel Paysan Boundiali
204,Byron Bay,AU,67.95,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
207,Khash,IR,75.94,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
209,Merrill,US,80.37,clear sky,45.1805,-89.6835,Prairie Motel
211,Poum,NC,72.48,broken clouds,-20.2333,164.0167,Gîte kajeon
213,Kazerun,IR,83.01,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
214,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
218,Acarau,BR,77.0,broken clouds,-2.8856,-40.12,castelo pizzaria
221,East London,ZA,69.17,broken clouds,-33.0153,27.9116,Tu Casa
222,Buala,SB,80.35,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
225,Ketchikan,US,66.67,scattered clouds,55.3422,-131.6461,Snow's Cove Lodge
227,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
229,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
230,Parbatipur,BD,79.57,overcast clouds,25.6649,88.9247,ARMAN Telecom
235,Kharan,PK,84.07,clear sky,28.5833,65.4167,Dil Aram Bangla
237,Dubovskoye,RU,68.16,overcast clouds,47.4092,42.7575,Anzhi
239,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
241,Manggar,ID,80.87,overcast clouds,-2.8833,108.2667,Guest Hotel
242,Amapa,BR,72.88,overcast clouds,1.0,-52.0,
244,Sakaiminato,JP,75.18,mist,35.55,133.2333,味処・民宿 まつや
245,Koumac,NC,75.36,broken clouds,-20.5667,164.2833,Le Monitel
246,Volterra,IT,73.08,clear sky,43.4003,10.86,Hotel San Lino
251,Benjamin Aceval,PY,77.14,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
253,Cortez,US,70.56,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
255,Sola,VU,78.42,overcast clouds,-13.8833,167.55,Leumerus Bungalows
256,Spirit River,CA,66.72,overcast clouds,55.7833,-118.8361,Motel 49
260,Avera,US,75.07,overcast clouds,33.194,-82.5271,
264,Port Elizabeth,ZA,71.89,clear sky,-33.918,25.5701,39 On Nile Guest House
266,Ler,SS,74.25,broken clouds,8.3018,30.1418,
267,Sena Madureira,BR,86.27,scattered clouds,-9.0656,-68.6569,Hotel Central
268,Gogrial,SS,75.43,scattered clouds,8.5332,28.1004,
270,Humaita,BR,84.4,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
274,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
276,Calbayog,PH,78.49,overcast clouds,12.0672,124.6042,Ciriaco Hotel & Resort
277,Alyangula,AU,76.03,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
281,Mackay,AU,73.04,clear sky,-21.15,149.2,International Lodge Motel
282,Hami,CN,68.76,scattered clouds,42.8,93.45,Laoyutang Resort
283,Sivaki,RU,67.42,few clouds,52.6333,126.75,
