City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Vardo,NO,70.3705,31.1107,46.85,71,100,9.4,overcast clouds,0.0,0
1,Port-Gentil,GA,-0.7193,8.7815,76.51,86,100,14.92,light rain,0.59,0
2,Clyde River,CA,70.4692,-68.5914,39.33,93,100,8.25,overcast clouds,0.0,0
3,Muros,ES,42.7762,-9.0603,66.24,73,6,15.46,clear sky,0.0,0
4,Bethel,US,41.3712,-73.414,78.08,72,1,4.61,clear sky,0.0,0
5,Hualmay,PE,-11.0964,-77.6139,62.91,79,73,12.39,broken clouds,0.0,0
6,Port Hedland,AU,-20.3167,118.5667,68.05,28,0,10.36,clear sky,0.0,0
7,Punta Arenas,CL,-53.15,-70.9167,41.11,93,0,5.75,clear sky,0.0,0
8,Nikolskoye,RU,59.7035,30.7861,59.02,86,88,5.44,light rain,0.24,0
9,Akureyri,IS,65.6835,-18.0878,49.93,93,75,0.0,broken clouds,0.0,0
10,Mataura,NZ,-46.1927,168.8643,43.48,93,83,1.9,broken clouds,0.0,0
11,Atuona,PF,-9.8,-139.0333,77.77,78,24,16.49,few clouds,0.0,0
12,Berlevag,NO,70.8578,29.0864,46.11,78,100,11.14,overcast clouds,0.0,0
13,Sao Filipe,CV,14.8961,-24.4956,78.57,88,47,1.83,scattered clouds,0.0,0
14,Kapaa,US,22.0752,-159.319,86.32,65,1,3.0,clear sky,0.0,0
15,Bhadrachalam,IN,17.6667,80.8833,75.34,97,100,6.98,overcast clouds,0.0,0
16,Pevek,RU,69.7008,170.3133,35.15,85,99,5.88,overcast clouds,0.0,0
17,Broome,US,42.2506,-75.833,76.69,77,90,1.01,overcast clouds,0.0,0
18,Saint George,US,37.1041,-113.5841,107.64,16,1,3.0,clear sky,0.0,0
19,Tasiilaq,GL,65.6145,-37.6368,44.76,87,83,4.9,broken clouds,0.0,0
20,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,90,9.22,overcast clouds,0.0,0
21,Kieta,PG,-6.2167,155.6333,82.31,70,99,2.04,overcast clouds,0.0,0
22,Espinosa,BR,-14.9261,-42.8192,77.22,32,58,8.68,broken clouds,0.0,0
23,Mount Gambier,AU,-37.8333,140.7667,49.91,93,90,8.05,overcast clouds,0.0,0
24,Hobart,AU,-42.8794,147.3294,48.25,65,75,5.01,broken clouds,0.0,0
25,Albany,US,42.6001,-73.9662,75.92,64,75,2.64,broken clouds,0.0,0
26,Liberia,LR,6.5,-9.5,69.98,94,73,2.55,broken clouds,0.0,0
27,Ushuaia,AR,-54.8,-68.3,38.86,93,75,18.41,light intensity drizzle,0.0,0
28,Lavrentiya,RU,65.5833,-171.0,43.2,70,53,2.1,broken clouds,0.0,0
29,Evensk,RU,61.95,159.2333,52.09,89,100,3.2,overcast clouds,0.0,0
30,Chuy,UY,-33.6971,-53.4616,53.1,98,92,6.35,overcast clouds,0.0,0
31,Lasa,IT,46.6166,10.7002,59.88,95,69,8.7,broken clouds,0.0,0
32,Mareeba,AU,-17.0,145.4333,73.49,68,9,4.63,clear sky,0.0,0
33,Cape Town,ZA,-33.9258,18.4232,56.1,77,75,7.0,broken clouds,0.0,0
34,Kruisfontein,ZA,-34.0033,24.7314,65.68,49,99,8.97,overcast clouds,0.0,0
35,Hewitt,US,31.4624,-97.1958,93.96,50,1,4.61,clear sky,0.0,0
36,Bredasdorp,ZA,-34.5322,20.0403,57.27,72,100,3.44,overcast clouds,0.0,0
37,Rikitea,PF,-23.1203,-134.9692,74.57,80,3,13.42,light rain,0.18,0
38,New Norfolk,AU,-42.7826,147.0587,47.91,63,100,3.0,overcast clouds,0.0,0
39,Talnakh,RU,69.4865,88.3972,47.71,91,87,9.8,overcast clouds,0.0,0
40,Georgetown,MY,5.4112,100.3354,75.88,95,40,3.44,mist,0.0,0
41,Jamestown,US,42.097,-79.2353,70.02,94,40,4.0,scattered clouds,0.0,0
42,Mykolayiv,UA,46.9659,31.9974,73.4,49,0,4.52,clear sky,0.0,0
43,Barrow,US,71.2906,-156.7887,35.62,80,90,21.85,overcast clouds,0.0,0
44,Turukhansk,RU,65.8167,87.9833,45.73,83,6,6.06,clear sky,0.0,0
45,Bengkulu,ID,-3.8004,102.2655,73.81,86,81,4.54,broken clouds,0.0,0
46,Hovd,MN,48.0056,91.6419,58.35,71,100,5.86,overcast clouds,0.0,0
47,Bluff,NZ,-46.6,168.3333,43.81,82,89,11.52,light rain,0.49,0
48,Tura,IN,25.5198,90.2201,73.6,98,98,5.57,overcast clouds,0.0,0
49,Caraquet,CA,47.7941,-64.9386,75.78,62,66,6.53,broken clouds,0.0,0
50,Koraput,IN,18.8167,82.7167,71.13,95,100,3.76,overcast clouds,0.0,0
51,Celestun,MX,20.8667,-90.4,85.21,71,68,10.54,broken clouds,0.0,0
52,Mantua,IT,45.1667,10.7833,75.7,72,30,5.01,scattered clouds,0.0,0
53,Qaanaaq,GL,77.484,-69.3632,39.34,97,100,3.44,overcast clouds,0.0,0
54,Avarua,CK,-21.2078,-159.775,73.45,68,90,12.66,overcast clouds,0.0,0
55,Kargil,IN,34.5667,76.1,49.62,43,0,5.19,clear sky,0.0,0
56,Anahuac,MX,27.2333,-100.15,96.3,26,62,9.1,broken clouds,0.0,0
57,Rosarito,MX,32.3333,-117.0333,91.94,72,12,6.82,few clouds,0.0,0
58,Saskylakh,RU,71.9167,114.0833,58.48,66,98,10.33,overcast clouds,0.0,0
59,Souillac,MU,-20.5167,57.5167,68.38,77,40,11.5,light rain,0.12,0
60,Pacific Grove,US,36.6177,-121.9166,96.15,77,1,4.0,clear sky,0.0,0
61,Margate,GB,51.3813,1.3862,58.69,74,9,1.99,clear sky,0.0,0
62,Uddevalla,SE,58.3478,11.9424,57.25,95,65,3.76,broken clouds,0.0,0
63,Saint Anthony,US,45.0205,-93.218,86.02,48,1,5.01,clear sky,0.0,0
64,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,87,5,4.32,clear sky,0.0,0
65,Brindisi,IT,40.5833,17.6667,79.16,69,0,8.1,clear sky,0.0,0
66,Vaini,TO,-21.2,-175.2,73.56,78,20,12.66,few clouds,0.0,0
67,Arraial Do Cabo,BR,-22.9661,-42.0278,69.94,86,54,19.69,heavy intensity rain,11.53,0
68,Hermanus,ZA,-34.4187,19.2345,57.79,71,100,13.44,overcast clouds,0.0,0
69,Kodiak,US,57.79,-152.4072,56.71,77,90,0.0,overcast clouds,0.0,0
70,Busselton,AU,-33.65,115.3333,54.05,73,7,6.55,clear sky,0.0,0
71,Ayan,RU,56.45,138.1667,70.56,64,10,4.9,clear sky,0.0,0
72,Huarmey,PE,-10.0681,-78.1522,64.29,79,50,11.9,scattered clouds,0.0,0
73,Hithadhoo,MV,-0.6,73.0833,81.7,75,100,7.63,overcast clouds,0.0,0
74,Votkinsk,RU,57.0486,53.9872,70.77,60,100,1.57,overcast clouds,0.0,0
75,Puerto Ayora,EC,-0.7393,-90.3518,70.56,90,56,5.99,broken clouds,0.0,0
76,Kropotkin,RU,45.4375,40.5756,68.25,87,22,4.21,few clouds,0.0,0
77,Valparai,IN,10.3667,76.9667,62.37,89,99,3.13,light rain,0.87,0
78,Andrews,US,32.3187,-102.5457,84.15,45,40,14.97,scattered clouds,0.0,0
79,Bilma,NE,18.6853,12.9164,94.21,31,7,8.61,clear sky,0.0,0
80,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,40,11.5,light rain,0.29,0
81,Dikson,RU,73.5069,80.5464,43.39,95,100,17.11,overcast clouds,0.0,0
82,Kutum,SD,14.2,24.6667,78.17,62,100,7.94,overcast clouds,0.0,0
83,Beian,NO,63.6559,9.5683,53.69,82,75,8.05,broken clouds,0.0,0
84,Saldanha,ZA,-33.0117,17.9442,57.09,90,100,18.66,overcast clouds,0.0,0
85,Opuwo,NA,-18.0607,13.84,64.35,47,0,4.12,clear sky,0.0,0
86,Yellowknife,CA,62.456,-114.3525,59.52,55,75,12.66,broken clouds,0.0,0
87,Ancud,CL,-41.8697,-73.8203,49.53,86,83,23.04,light rain,0.58,0
88,Aklavik,CA,68.2191,-135.0107,56.23,60,100,7.92,overcast clouds,0.0,0
89,Aiquile,BO,-18.2041,-65.1807,62.08,51,4,3.49,clear sky,0.0,0
90,Antalaha,MG,-14.9003,50.2788,66.02,88,53,8.41,broken clouds,0.0,0
91,Touros,BR,-5.1989,-35.4608,76.1,79,23,20.74,few clouds,0.0,0
92,Butaritari,KI,3.0707,172.7902,83.12,75,28,12.41,moderate rain,1.01,0
93,Lagoa,PT,39.05,-27.9833,73.22,87,100,13.53,overcast clouds,0.0,0
94,Dabat,ET,12.9842,37.765,53.15,92,89,0.72,overcast clouds,0.0,0
95,Nelipyno,UA,48.561,23.0315,69.24,63,2,4.99,clear sky,0.0,0
96,Provideniya,RU,64.3833,-173.3,42.91,87,90,11.18,light intensity drizzle,0.0,0
97,Kamenka,RU,51.3223,42.7678,68.04,88,99,6.06,overcast clouds,0.0,0
98,Klaksvik,FO,62.2266,-6.589,52.72,93,100,5.86,overcast clouds,0.0,0
99,Barreirinhas,BR,-2.7469,-42.8264,76.6,85,45,7.02,scattered clouds,0.0,0
100,Bandarbeyla,SO,9.4942,50.8122,76.86,78,14,29.71,few clouds,0.0,0
101,Codrington,AU,-38.2667,141.9667,52.23,85,100,12.28,overcast clouds,0.0,0
102,Menongue,AO,-14.6585,17.691,56.75,32,15,4.7,few clouds,0.0,0
103,Najran,SA,17.4924,44.1277,81.25,21,100,2.89,overcast clouds,0.0,0
104,Hambantota,LK,6.1241,81.1185,78.19,84,99,16.06,overcast clouds,0.0,0
105,Guerrero Negro,MX,27.9769,-114.0611,82.72,57,21,10.69,few clouds,0.0,0
106,Airai,TL,-8.9266,125.4092,62.53,63,40,4.27,scattered clouds,0.0,0
107,Leshan,CN,29.5623,103.7639,73.08,97,100,2.55,heavy intensity rain,4.86,0
108,San Patricio,US,28.017,-97.5169,91.49,49,67,12.44,broken clouds,0.0,0
109,Pangai,TO,-19.8,-174.35,77.11,53,20,17.27,light rain,0.17,0
110,Cabo San Lucas,MX,22.8909,-109.9124,92.52,58,40,10.36,scattered clouds,0.0,0
111,Ribeira Grande,PT,38.5167,-28.7,73.31,89,99,16.02,overcast clouds,0.0,0
112,Thinadhoo,MV,0.5333,72.9333,81.93,75,100,8.61,light rain,1.0,0
113,Lebu,CL,-37.6167,-73.65,50.7,92,0,11.45,clear sky,0.0,0
114,Kavieng,PG,-2.5744,150.7967,83.07,72,100,5.88,overcast clouds,0.0,0
115,Naze,JP,28.3667,129.4833,81.52,82,100,13.76,overcast clouds,0.0,0
116,Beira,MZ,-19.8436,34.8389,69.89,73,0,9.22,clear sky,0.0,0
117,Mahebourg,MU,-20.4081,57.7,68.29,77,40,11.5,light rain,0.24,0
118,Arlit,NE,18.7369,7.3853,93.83,27,85,9.6,overcast clouds,0.0,0
119,Thompson,CA,55.7435,-97.8558,60.96,82,90,6.91,overcast clouds,0.0,0
120,Klyuchevskiy,RU,53.5317,119.4519,61.72,81,100,5.17,overcast clouds,0.0,0
121,Srednekolymsk,RU,67.45,153.6833,47.57,57,99,9.86,overcast clouds,0.0,0
122,Mar Del Plata,AR,-38.0023,-57.5575,51.82,93,75,6.91,light rain,0.17,0
123,Walvis Bay,NA,-22.9575,14.5053,54.09,93,2,3.44,clear sky,0.0,0
124,Oktyabrskoye,RU,43.0645,44.7417,59.14,100,35,2.24,scattered clouds,0.0,0
125,Jalu,LY,29.0331,21.5482,78.82,52,0,12.8,clear sky,0.0,0
126,Maxixe,MZ,-23.8597,35.3472,64.11,77,60,7.02,broken clouds,0.0,0
127,Shu,KZ,43.5983,73.7614,60.78,53,0,2.73,clear sky,0.0,0
